ID,DeviceName,Timestamp,Compass,Accelerometer_x,Accelerometer_y,Accelerometer_z,Gyroscope_x,Gyroscope_y,Gyroscope_z,Magnetometer_x,Magnetometer_y,Magnetometer_z
charlie,MI 5,636646019481097900,259.074677,-0.012075,0.013829,0.993512,-0.000336,0.001587,0.000366,12.423706,-2.479553,-47.503662
charlie,MI 5,636646019480876720,261.315735,-0.012075,0.016026,0.989854,-0.000946,-0.000870,0.000977,12.405396,-2.770996,-46.232605
charlie,MI 5,636646019480916330,261.315735,-0.010855,0.013587,0.993756,0.000885,-0.000259,-0.000854,12.423706,-2.479553,-47.503662
charlie,MI 5,636646019480782790,259.636047,-0.009392,0.014318,0.994245,0.000275,0.000351,0.002197,12.854004,-3.033447,-46.220398
charlie,MI 5,636646019480813870,259.636047,-0.011098,0.013829,0.993756,-0.002167,0.002808,0.000366,12.405396,-2.770996,-46.232605
charlie,MI 5,636646019481242460,255.836731,-0.013538,0.013587,0.992537,0.000885,-0.000870,0.001587,12.825012,-3.729248,-47.483826
charlie,MI 5,636646019481010360,259.074677,-0.013050,0.015050,0.994245,-0.000336,0.001587,0.000366,12.423706,-2.479553,-47.503662
charlie,MI 5,636646019481229480,255.836731,-0.012319,0.014074,0.992048,0.000885,-0.000870,0.001587,12.825012,-3.729248,-47.483826
charlie,MI 5,636646019481115890,259.074677,-0.013050,0.014562,0.994487,-0.000336,0.001587,0.000366,12.423706,-2.479553,-47.503662
charlie,MI 5,636646019481160340,259.074677,-0.012319,0.014806,0.992048,-0.000336,0.001587,0.000366,12.423706,-2.479553,-47.503662
charlie,MI 5,636646019481386370,259.038696,-0.011586,0.012854,0.993268,-0.000336,-0.002701,0.000366,11.791992,-2.790833,-47.038269
charlie,MI 5,636646019481484520,266.656281,-0.013538,0.013829,0.993024,-0.002167,0.000961,-0.000854,13.392639,-1.333618,-44.796753
charlie,MI 5,636646019481294960,259.447968,-0.012562,0.013098,0.993268,-0.001556,-0.001480,-0.000244,11.335754,-2.670288,-46.890259
charlie,MI 5,636646019481133140,259.074677,-0.012075,0.013342,0.996195,-0.000336,0.001587,0.000366,12.423706,-2.479553,-47.503662
charlie,MI 5,636646019481544510,266.656281,-0.011831,0.014562,0.994245,-0.000946,0.000351,-0.001465,13.392639,-1.333618,-44.796753
charlie,MI 5,636646019481432220,259.038696,-0.012319,0.012123,0.993756,0.000275,-0.002090,-0.000854,11.791992,-2.790833,-47.038269
charlie,MI 5,636646019481735850,268.323029,-0.011586,0.015293,0.991804,-0.000336,-0.000259,0.000977,12.336731,-0.953674,-45.138550
charlie,MI 5,636646019481638720,265.235229,-0.011342,0.013342,0.994245,0.000885,0.000351,0.000977,13.392639,-1.333618,-44.796753
charlie,MI 5,636646019481335250,259.447968,-0.010367,0.012610,0.994245,-0.000946,-0.000870,0.002197,11.335754,-2.670288,-46.890259
charlie,MI 5,636646019481709980,268.323029,-0.013294,0.014074,0.993512,-0.000946,-0.002090,0.000366,13.534546,-1.731873,-47.010803
charlie,MI 5,636646019481647580,265.235229,-0.012075,0.014074,0.994487,0.000885,0.000351,0.000977,13.392639,-1.333618,-44.796753
charlie,MI 5,636646019481792970,262.707611,-0.013294,0.012854,0.994976,0.000885,-0.000870,0.000366,12.336731,-0.953674,-45.138550
charlie,MI 5,636646019482021360,259.202820,-0.011098,0.015781,0.991073,0.000275,-0.000259,-0.001465,12.245178,-2.917480,-46.392822
charlie,MI 5,636646019482106570,259.501465,-0.011342,0.014806,0.995220,0.000885,-0.001480,0.000366,11.486816,-2.795410,-47.996521
charlie,MI 5,636646019481963670,259.202820,-0.011342,0.016270,0.993268,0.000275,-0.000870,-0.000244,11.643982,-2.658081,-46.884155
charlie,MI 5,636646019481935690,259.457184,-0.012806,0.014074,0.994245,-0.000336,0.000351,0.001587,11.523438,-2.084351,-48.794556
charlie,MI 5,636646019482051040,259.202820,-0.011098,0.015050,0.994000,0.000885,0.000351,-0.000854,12.245178,-2.917480,-46.392822
charlie,MI 5,636646019481926790,259.457184,-0.012562,0.014806,0.992781,-0.000336,0.000351,0.001587,11.523438,-2.084351,-48.794556
charlie,MI 5,636646019481814400,262.707611,-0.012806,0.012854,0.994000,-0.000336,0.000351,0.001587,11.523438,-2.084351,-48.794556
charlie,MI 5,636646019482292140,260.744537,-0.012075,0.014074,0.996195,0.000275,0.000351,0.000366,13.633728,-2.854919,-46.839905
charlie,MI 5,636646019482337460,260.744537,-0.011586,0.016757,0.990829,0.000275,0.000351,0.001587,13.633728,-2.854919,-46.839905
charlie,MI 5,636646019482434970,259.742523,-0.010611,0.014806,0.996195,-0.000946,-0.000259,-0.002075,13.473511,-3.001404,-47.001648
charlie,MI 5,636646019482148130,259.501465,-0.009879,0.015781,0.993024,-0.000336,0.000351,0.000366,11.486816,-2.795410,-47.996521
charlie,MI 5,636646019482200460,268.735809,-0.011586,0.015293,0.995464,-0.000946,0.000961,-0.000244,11.729431,-0.958252,-47.689819
charlie,MI 5,636646019482499830,260.473175,-0.011586,0.015537,0.993512,-0.000336,0.002197,-0.000854,11.952209,-2.644348,-46.878052
charlie,MI 5,636646019482554430,260.473175,-0.011586,0.015537,0.991073,0.000275,0.000961,0.000366,11.952209,-2.644348,-46.878052
charlie,MI 5,636646019482387920,259.742523,-0.012319,0.015537,0.992537,-0.000946,0.000961,-0.000244,13.473511,-3.001404,-47.001648
charlie,MI 5,636646019482585400,260.265411,-0.011586,0.014318,0.994487,-0.000946,-0.000870,-0.000244,11.647034,-2.650452,-47.677612
charlie,MI 5,636646019482708830,262.853485,-0.011342,0.014806,0.993756,-0.000336,0.000351,0.000977,11.647034,-2.650452,-47.677612
charlie,MI 5,636646019482807730,255.775269,-0.011586,0.015293,0.994487,-0.000946,0.000961,-0.000244,11.824036,-2.088928,-46.726990
charlie,MI 5,636646019482723760,262.853485,-0.011342,0.017245,0.989854,-0.000336,0.000351,0.000977,11.647034,-2.650452,-47.677612
charlie,MI 5,636646019482834090,255.775269,-0.008659,0.012854,0.996439,-0.001556,0.001587,-0.000854,12.658691,-3.884888,-46.376038
charlie,MI 5,636646019482880950,255.775269,-0.010123,0.012854,0.992293,-0.001556,0.001587,-0.000854,12.658691,-3.884888,-46.376038
charlie,MI 5,636646019483049800,257.754333,-0.013538,0.012367,0.993268,-0.000946,-0.002701,0.000977,11.779785,-3.068542,-47.511292
charlie,MI 5,636646019482242520,268.735809,-0.011831,0.014562,0.995220,0.000885,-0.000259,0.000977,11.729431,-0.958252,-47.689819
charlie,MI 5,636646019482970340,257.754333,-0.012075,0.015537,0.994000,-0.000336,0.001587,0.000366,11.953735,-2.641296,-47.352600
charlie,MI 5,636646019482757210,262.853485,-0.010611,0.014318,0.992781,0.000275,-0.001480,0.000366,11.824036,-2.088928,-46.726990
charlie,MI 5,636646019483100900,259.544312,-0.010855,0.014318,0.995707,0.000885,-0.000259,0.000977,11.779785,-3.068542,-47.511292
charlie,MI 5,636646019482909120,255.775269,-0.011831,0.014318,0.993756,-0.001556,0.001587,-0.000854,12.658691,-3.884888,-46.376038
charlie,MI 5,636646019483112950,259.544312,-0.012075,0.014562,0.993756,0.000885,-0.000259,0.000977,11.779785,-3.068542,-47.511292
charlie,MI 5,636646019483227120,263.164032,-0.010855,0.016026,0.991317,0.001495,-0.002701,0.002808,11.788940,-2.796936,-46.244812
charlie,MI 5,636646019483274680,263.164032,-0.011342,0.014318,0.992293,0.001495,-0.002701,0.002808,11.788940,-2.796936,-46.244812
charlie,MI 5,636646019483296890,263.164032,-0.007928,0.013342,0.994000,0.001495,-0.002701,0.002808,11.788940,-2.796936,-46.244812
charlie,MI 5,636646019483483530,259.757782,-0.012319,0.014806,0.996195,0.000885,0.000351,0.000366,12.103271,-2.769470,-47.984314
charlie,MI 5,636646019483389830,263.164032,-0.011098,0.013829,0.995464,0.001495,-0.002701,0.002808,11.788940,-2.796936,-46.244812
charlie,MI 5,636646019483459550,259.757782,-0.011342,0.014562,0.994731,0.000275,-0.000870,0.000366,12.861633,-3.016663,-48.283386
charlie,MI 5,636646019483399570,263.164032,-0.011342,0.014074,0.993756,0.001495,-0.002701,0.002808,11.788940,-2.796936,-46.244812
charlie,MI 5,636646019483309660,263.164032,-0.011586,0.015050,0.992781,0.001495,-0.002701,0.002808,11.788940,-2.796936,-46.244812
charlie,MI 5,636646019483545020,259.757782,-0.013294,0.012854,0.994245,0.001495,-0.002701,-0.000854,12.103271,-2.769470,-47.984314
charlie,MI 5,636646019483606420,263.939728,-0.013050,0.014806,0.994245,-0.000946,0.001587,-0.000244,11.071777,-1.828003,-48.013306
