ID,DeviceName,Timestamp,Compass,Accelerometer_x,Accelerometer_y,Accelerometer_z,LinearAccelerometer_x,LinearAccelerometer_y,LinearAccelerometer_z,Gyroscope_x,Gyroscope_y,Gyroscope_z,Magnetometer_x,Magnetometer_y,Magnetometer_z
charlie,MI 5,63664686848.531914,355.882233,-0.021099,0.006513,1.001073,-0.022104,-0.011009,0.089040,0.000427,0.001480,0.000580,2.395630,17.741394,-51.914978
charlie,MI 5,63664686848.578690,358.480499,-0.016953,0.010904,0.986682,0.018643,0.032233,-0.051426,-0.001404,0.001480,0.001190,0.862122,17.820740,-52.264404
charlie,MI 5,63664686848.544525,358.980774,-0.019392,0.006757,0.996928,-0.035709,0.003604,0.011456,-0.001404,0.000870,0.000580,1.419067,16.583252,-53.036499
charlie,MI 5,63664686848.525826,2.141011,-0.018905,0.007732,0.995464,0.020717,-0.015872,0.056293,-0.000793,0.002716,-0.000641,0.250244,17.932129,-51.962280
charlie,MI 5,63664686848.549362,357.471619,-0.022563,0.007976,0.993268,0.009693,-0.017739,0.027974,0.001648,0.000870,-0.000031,1.779175,17.842102,-50.184631
charlie,MI 5,63664686848.539955,358.980774,-0.022075,0.005293,0.998390,-0.004936,-0.008252,0.047455,-0.000793,0.001480,0.001190,1.419067,16.583252,-53.036499
charlie,MI 5,63664686848.537025,358.980774,-0.022075,0.005293,0.998390,-0.031339,-0.022745,0.062197,-0.000793,0.001480,0.001190,2.395630,17.741394,-51.914978
charlie,MI 5,63664686848.558800,357.471619,-0.017928,0.005782,0.994976,0.014304,-0.008041,-0.012601,-0.000793,0.000259,-0.000641,1.779175,17.842102,-50.184631
charlie,MI 5,63664686848.576393,358.480499,-0.016953,0.010904,0.986682,0.013916,0.020557,-0.052556,-0.001404,0.001480,0.001190,0.862122,17.820740,-52.264404
charlie,MI 5,63664686848.559952,357.471619,-0.017928,0.005782,0.994976,0.028408,-0.000797,-0.033848,-0.000793,0.000259,-0.000641,1.779175,17.842102,-50.184631
charlie,MI 5,63664686848.588173,358.480499,-0.015977,0.007244,0.990829,0.018328,0.022488,0.018141,-0.000183,0.002090,0.000580,1.448059,17.276001,-51.455688
charlie,MI 5,63664686848.577591,358.480499,-0.016953,0.010904,0.986682,0.001977,0.020477,-0.082956,-0.001404,0.001480,0.001190,0.862122,17.820740,-52.264404
charlie,MI 5,63664686848.592537,357.088013,-0.016953,0.009927,0.993756,0.003976,-0.017991,0.074931,-0.000793,0.002090,-0.000031,1.786804,17.858887,-52.246094
charlie,MI 5,63664686848.579689,358.480499,-0.016953,0.010904,0.986682,0.025695,0.003466,-0.027269,-0.001404,0.001480,0.001190,0.862122,17.820740,-52.264404
charlie,MI 5,63664686848.584091,358.480499,-0.015977,0.007244,0.990829,0.027953,-0.003682,-0.010426,-0.000183,0.002090,0.000580,1.448059,17.276001,-51.455688
charlie,MI 5,63664686848.616508,356.568329,-0.021588,0.005293,0.994731,-0.014974,-0.007582,0.046700,-0.000183,-0.000961,0.000580,1.945496,18.000793,-51.609802
charlie,MI 5,63664686848.597237,0.302372,-0.018661,0.005782,0.999854,0.001635,-0.017861,0.076684,-0.000793,0.000870,0.001801,0.781250,16.258240,-50.984192
charlie,MI 5,63664686848.607605,357.861603,-0.016464,0.003829,0.994976,0.023018,-0.036506,0.028159,-0.002625,0.002716,0.002411,1.620483,17.700195,-50.820923
charlie,MI 5,63664686848.603958,0.302372,-0.017197,0.006024,0.997415,0.015900,-0.015402,0.052320,0.001053,0.000870,0.001801,0.781250,16.258240,-50.984192
charlie,MI 5,63664686848.611916,357.861603,-0.021588,0.005293,0.994731,-0.027062,-0.021955,0.025548,-0.000183,-0.000961,0.000580,1.620483,17.700195,-50.820923
charlie,MI 5,63664686848.626442,356.568329,-0.016708,0.004318,0.995220,-0.003219,-0.007214,0.019959,0.001053,-0.000351,0.000580,1.945496,18.000793,-51.609802
charlie,MI 5,63664686848.621475,356.568329,-0.016708,0.004318,0.995220,0.020668,-0.031181,0.029695,0.001053,-0.000351,0.000580,1.945496,18.000793,-51.609802
charlie,MI 5,63664686848.630875,356.328461,-0.017928,0.007488,0.990341,0.008598,-0.000118,-0.018188,0.001648,-0.001572,-0.000031,2.282715,18.583679,-52.241516
charlie,MI 5,63664686848.636429,357.026337,-0.021099,0.007732,0.987902,-0.022427,0.002154,-0.041764,0.002274,-0.002182,-0.000031,2.282715,18.583679,-52.241516
charlie,MI 5,63664686848.655128,359.358307,-0.020367,0.010415,0.992048,-0.015148,0.027715,0.000090,-0.000793,0.000870,0.000580,1.142883,17.271423,-52.571106
charlie,MI 5,63664686848.666328,358.645203,-0.017197,0.010171,0.992293,0.016046,0.024922,0.002309,-0.000183,0.002090,0.001801,1.461792,17.558289,-51.457214
