ID,DeviceName,Timestamp,Compass,Accelerometer_x,Accelerometer_y,Accelerometer_z,Gyroscope_x,Gyroscope_y,Gyroscope_z,Magnetometer_x,Magnetometer_y,Magnetometer_z
charlie,MI 5,63664685206.256744,274.164642,-0.012562,0.009927,0.986682,0.001190,0.001633,0.000458,12.130737,0.338745,-41.571045
charlie,MI 5,63664685206.262512,269.509369,-0.009636,0.010171,0.985707,0.001190,-0.000214,-0.000153,11.933899,-0.515747,-41.409302
charlie,MI 5,63664685206.267418,269.509369,-0.013781,0.010904,0.991562,0.001190,-0.000824,-0.001373,11.933899,-0.515747,-41.409302
charlie,MI 5,63664685206.272293,276.246643,-0.013294,0.013587,0.992293,0.001190,0.002243,-0.000763,12.617493,0.915527,-40.773010
charlie,MI 5,63664685206.275734,276.246643,-0.013294,0.013587,0.992293,0.001190,0.002243,-0.000763,12.617493,0.915527,-40.773010
charlie,MI 5,63664685206.281281,276.550232,-0.012806,0.017001,0.991804,0.001816,0.001022,-0.001373,12.774658,0.802612,-43.464661
charlie,MI 5,63664685206.285645,276.550232,-0.012806,0.017001,0.991804,0.001190,-0.000824,0.001068,12.774658,0.802612,-43.464661
charlie,MI 5,63664685206.291664,276.091400,-0.012562,0.018709,0.996439,0.001190,-0.000824,0.001068,12.454224,0.512695,-43.945312
charlie,MI 5,63664685206.295448,276.091400,-0.012075,0.017001,0.993756,-0.000031,-0.000824,-0.001984,12.454224,0.512695,-43.945312
charlie,MI 5,63664685206.300919,270.374023,-0.012562,0.018709,0.994976,0.001190,-0.000214,-0.000153,13.313293,-0.726318,-42.964172
charlie,MI 5,63664685206.305382,270.374023,-0.011586,0.017733,0.993512,-0.000641,0.001633,0.000458,13.313293,-0.726318,-42.964172
charlie,MI 5,63664685206.310555,266.414551,-0.011586,0.017733,0.993512,0.000580,0.001022,0.000458,11.584473,-1.502991,-42.994690
charlie,MI 5,63664685206.314857,266.414551,-0.013050,0.013587,0.994245,-0.000641,0.000397,-0.000153,11.584473,-1.502991,-42.994690
charlie,MI 5,63664685206.319962,272.098267,-0.014758,0.011148,0.989854,-0.002472,-0.002045,-0.001373,13.343811,-0.158691,-43.444824
charlie,MI 5,63664685206.323402,272.098267,-0.014758,0.011148,0.989854,-0.003082,-0.000214,-0.001373,13.343811,-0.158691,-43.444824
charlie,MI 5,63664685206.330048,272.171509,-0.012319,0.012854,0.991804,-0.001862,0.000397,-0.000763,12.118530,-0.064087,-44.105530
charlie,MI 5,63664685206.333412,272.171509,-0.011831,0.014562,0.990098,-0.001862,0.000397,-0.000763,12.118530,-0.064087,-44.105530
charlie,MI 5,63664685206.340157,269.825745,-0.010855,0.012123,0.988878,-0.001251,0.001022,-0.000763,13.471985,-0.585938,-42.010498
charlie,MI 5,63664685206.342590,269.825745,-0.010855,0.012123,0.988878,-0.001251,0.001022,-0.000763,13.471985,-0.585938,-42.010498
charlie,MI 5,63664685206.349449,266.351044,-0.010855,0.013098,0.991562,0.001190,0.001633,0.000458,12.516785,-1.319885,-43.293762
charlie,MI 5,63664685206.353188,266.351044,-0.012806,0.013587,0.992293,0.000580,-0.001434,-0.000763,12.516785,-1.319885,-43.293762
charlie,MI 5,63664685206.357582,266.351044,-0.011342,0.013098,0.991562,0.000580,-0.001434,-0.000763,12.516785,-1.319885,-43.293762
charlie,MI 5,63664685206.362930,273.886993,-0.013050,0.014074,0.994487,0.000580,-0.001434,0.001068,13.055420,0.251770,-43.453979
charlie,MI 5,63664685206.367256,273.886993,-0.012319,0.014806,0.993024,0.003632,0.001633,0.002289,13.055420,0.251770,-43.453979
charlie,MI 5,63664685206.371849,272.677582,-0.012319,0.014806,0.993024,0.003036,0.001633,0.002289,13.195801,-0.024414,-43.290710
charlie,MI 5,63664685206.377983,272.677582,-0.013294,0.015537,0.993756,0.000580,-0.000214,0.000458,13.195801,-0.024414,-43.290710
charlie,MI 5,63664685206.382477,271.719055,-0.010611,0.014806,0.996684,0.001190,0.002853,0.000458,12.104797,-0.346375,-44.104004
charlie,MI 5,63664685206.385948,271.719055,-0.012562,0.014074,0.993512,0.001190,0.002853,0.000458,12.104797,-0.346375,-44.104004
